Intensity, Count
0,0
1,0
2,0
3,0
4,0
5,1
6,0
7,0
8,2
9,2
10,4
11,1
12,6
13,12
14,21
15,20
16,14
17,34
18,33
19,43
20,62
21,102
22,127
23,73
24,94
25,116
26,106
27,71
28,96
29,94
30,107
31,102
32,157
33,161
34,184
35,152
36,282
37,258
38,248
39,163
40,290
41,245
42,280
43,248
44,285
45,238
46,233
47,285
48,290
49,187
50,280
51,257
52,295
53,275
54,354
55,416
56,351
57,393
58,424
59,511
60,408
61,535
62,581
63,564
64,512
65,650
66,663
67,556
68,572
69,630
70,632
71,598
72,620
73,626
74,747
75,673
76,573
77,644
78,797
79,691
80,673
81,690
82,702
83,701
84,629
85,783
86,755
87,783
88,809
89,813
90,965
91,889
92,896
93,984
94,882
95,1018
96,1046
97,1044
98,1165
99,4072
100,1263
101,1098
102,1122
103,1257
104,1291
105,1241
106,1266
107,1435
108,1345
109,1281
110,1676
111,1637
112,1656
113,1493
114,1582
115,1908
116,1804
117,1691
118,1961
119,1776
120,1763
121,1813
122,2045
123,1981
124,1724
125,1798
126,1889
127,2006
128,1790
129,1803
130,2006
131,1975
132,1987
133,1732
134,1945
135,1680
136,2131
137,1782
138,1838
139,1823
140,1752
141,1841
142,1837
143,1712
144,1723
145,1780
146,1717
147,1722
148,1696
149,1519
150,1540
151,1833
152,1517
153,1442
154,1391
155,1548
156,1341
157,1312
158,1245
159,1325
160,1167
161,1250
162,1130
163,1086
164,1089
165,1011
166,1064
167,998
168,958
169,923
170,1027
171,986
172,1067
173,814
174,1041
175,1208
176,1261
177,770
178,1186
179,1271
180,1067
181,1078
182,1277
183,1427
184,888
185,1184
186,1208
187,1356
188,1109
189,1146
190,1563
191,1628
192,1252
193,1137
194,2005
195,1352
196,1603
197,1925
198,2064
199,936
200,1767
201,1259
202,1231
203,734
204,1112
205,1079
206,923
207,631
208,896
209,686
210,630
211,680
212,732
213,454
214,646
215,600
216,639
217,507
218,511
219,616
220,715
221,496
222,558
223,831
224,940
225,413
226,952
227,905
228,725
229,671
230,1209
231,1142
232,710
233,1478
234,1810
235,1050
236,1131
237,1702
238,1354
239,980
240,948
241,1248
242,1121
243,492
244,768
245,872
246,662
247,634
248,501
249,679
250,3235
251,14064
252,8830
253,1909
254,629
255,192
