Intensity, Count
0,357
1,413
2,276
3,324
4,0
5,344
6,418
7,543
8,0
9,762
10,0
11,0
12,973
13,0
14,0
15,0
16,1280
17,0
18,0
19,0
20,1781
21,0
22,0
23,0
24,0
25,0
26,0
27,2289
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,2928
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,3350
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,2847
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,2089
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,1951
78,0
79,0
80,0
81,0
82,0
83,0
84,1960
85,0
86,0
87,0
88,0
89,0
90,0
91,2214
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,2081
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,2142
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,2088
116,0
117,0
118,0
119,0
120,0
121,0
122,1939
123,0
124,0
125,0
126,0
127,0
128,0
129,1961
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,2097
138,0
139,0
140,0
141,0
142,0
143,0
144,2418
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,2006
154,0
155,0
156,0
157,0
158,0
159,0
160,1601
161,0
162,0
163,0
164,0
165,0
166,1353
167,0
168,0
169,0
170,0
171,1334
172,0
173,0
174,0
175,0
176,1270
177,0
178,0
179,0
180,0
181,1089
182,0
183,0
184,0
185,967
186,0
187,0
188,981
189,0
190,0
191,0
192,856
193,0
194,0
195,757
196,0
197,0
198,664
199,0
200,628
201,0
202,0
203,556
204,0
205,429
206,388
207,0
208,417
209,309
210,277
211,229
212,235
213,246
214,175
215,310
216,254
217,283
218,311
219,208
220,344
221,182
222,314
223,372
224,102
225,232
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
