Intensity, Count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,2
77,1
78,2
79,0
80,0
81,2
82,0
83,1
84,1
85,0
86,1
87,3
88,0
89,0
90,4
91,11
92,3
93,5
94,1
95,3
96,0
97,4
98,2
99,4
100,3
101,4
102,5
103,0
104,7
105,4
106,2
107,6
108,10
109,5
110,0
111,2
112,1
113,7
114,6
115,4
116,10
117,0
118,23
119,15
120,32
121,60
122,101
123,158
124,0
125,255
126,276
127,324
128,344
129,418
130,543
131,0
132,762
133,973
134,1280
135,1781
136,2289
137,2928
138,0
139,3350
140,2847
141,2089
142,1951
143,1960
144,2214
145,0
146,2081
147,2142
148,2088
149,1939
150,1961
151,2097
152,0
153,2418
154,2006
155,1601
156,1353
157,1334
158,1270
159,0
160,1089
161,967
162,981
163,856
164,757
165,664
166,628
167,0
168,556
169,429
170,388
171,417
172,309
173,277
174,0
175,229
176,235
177,246
178,175
179,155
180,155
181,0
182,137
183,117
184,148
185,135
186,138
187,173
188,0
189,208
190,180
191,164
192,182
193,152
194,162
195,0
196,173
197,199
198,102
199,71
200,53
201,31
202,0
203,27
204,19
205,8
206,8
207,5
208,3
209,0
210,2
211,2
212,1
213,0
214,0
215,1
216,0
217,0
218,1
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
