Intensity, Count
0,2
1,1
2,0
3,2
4,0
5,0
6,0
7,0
8,2
9,0
10,0
11,0
12,1
13,0
14,1
15,0
16,0
17,1
18,0
19,3
20,0
21,0
22,0
23,0
24,0
25,4
26,11
27,0
28,3
29,0
30,5
31,0
32,1
33,0
34,3
35,0
36,0
37,4
38,0
39,2
40,0
41,4
42,0
43,3
44,4
45,0
46,5
47,0
48,0
49,0
50,7
51,0
52,4
53,2
54,0
55,6
56,0
57,10
58,0
59,5
60,0
61,0
62,2
63,0
64,1
65,0
66,7
67,0
68,6
69,0
70,4
71,10
72,0
73,0
74,0
75,23
76,0
77,15
78,0
79,32
80,60
81,0
82,101
83,0
84,158
85,0
86,0
87,255
88,0
89,276
90,0
91,324
92,0
93,344
94,0
95,418
96,543
97,0
98,0
99,0
100,762
101,0
102,973
103,0
104,1280
105,1781
106,0
107,2289
108,0
109,2928
110,0
111,0
112,0
113,3350
114,2847
115,0
116,2089
117,0
118,1951
119,0
120,1960
121,0
122,2214
123,0
124,0
125,2081
126,0
127,2142
128,0
129,2088
130,0
131,1939
132,1961
133,0
134,2097
135,0
136,0
137,0
138,2418
139,0
140,2006
141,1601
142,0
143,1353
144,0
145,1334
146,0
147,1270
148,0
149,0
150,1089
151,0
152,967
153,0
154,981
155,0
156,856
157,0
158,757
159,664
160,0
161,628
162,0
163,0
164,0
165,556
166,0
167,429
168,388
169,0
170,417
171,0
172,309
173,0
174,277
175,0
176,0
177,229
178,0
179,235
180,0
181,246
182,0
183,175
184,155
185,0
186,155
187,0
188,0
189,0
190,137
191,0
192,117
193,148
194,0
195,135
196,0
197,138
198,0
199,173
200,0
201,0
202,208
203,0
204,180
205,0
206,164
207,0
208,182
209,0
210,152
211,162
212,0
213,0
214,0
215,173
216,0
217,199
218,0
219,102
220,71
221,0
222,53
223,0
224,31
225,0
226,0
227,0
228,27
229,19
230,0
231,8
232,0
233,8
234,0
235,5
236,0
237,3
238,0
239,0
240,2
241,0
242,2
243,0
244,1
245,0
246,0
247,0
248,0
249,1
250,0
251,0
252,0
253,0
254,0
255,1
