Intensity, Count
0,21300
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,27403
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,2049
19,28421
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,17583
31,0
32,0
33,0
34,0
35,0
36,3262
37,0
38,18749
39,0
40,0
41,0
42,0
43,0
44,0
45,19468
46,0
47,0
48,0
49,0
50,0
51,0
52,4902
53,0
54,18996
55,0
56,0
57,0
58,0
59,0
60,0
61,19433
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,5959
70,0
71,15612
72,0
73,0
74,0
75,0
76,0
77,14022
78,0
79,0
80,0
81,0
82,0
83,5889
84,0
85,13692
86,0
87,0
88,0
89,0
90,11220
91,0
92,0
93,0
94,5471
95,0
96,9813
97,0
98,0
99,0
100,9428
101,0
102,0
103,0
104,5657
105,0
106,8589
107,0
108,0
109,6634
110,0
111,0
112,5493
113,0
114,5608
115,0
116,5714
117,0
118,4810
119,0
120,5296
121,0
122,4822
123,0
124,4502
125,0
126,4519
127,4299
128,0
129,4032
130,4199
131,0
132,3902
133,0
134,3536
135,3741
136,3093
137,0
138,2836
139,3127
140,2888
141,2844
142,2744
143,2537
144,2226
145,2288
146,2101
147,4015
148,2008
149,2071
150,2397
151,4109
152,1945
153,1670
154,2946
155,2723
156,3196
157,2618
158,1548
159,3297
160,2166
161,2404
162,2552
163,2666
164,2632
165,2688
166,2478
167,2770
168,2456
169,2626
170,199
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
