Intensity, Count
0,2155
1,19145
2,27403
3,2049
4,28421
5,17583
6,3262
7,18749
8,19468
9,4902
10,18996
11,19433
12,5959
13,15612
14,14022
15,5889
16,13692
17,11220
18,5471
19,9813
20,9428
21,5657
22,8589
23,6634
24,5493
25,5608
26,5714
27,4810
28,5296
29,4822
30,4502
31,4519
32,4299
33,4032
34,4199
35,3902
36,3536
37,3741
38,3093
39,2836
40,3127
41,2888
42,2844
43,2744
44,2537
45,2226
46,2288
47,2101
48,1905
49,2110
50,2008
51,2071
52,2397
53,2350
54,1759
55,1945
56,1670
57,1555
58,1391
59,1515
60,1208
61,1480
62,1716
63,1167
64,1451
65,1548
66,1063
67,1047
68,1187
69,536
70,896
71,403
72,331
73,379
74,168
75,102
76,87
77,105
78,66
79,88
80,96
81,110
82,101
83,111
84,88
85,101
86,114
87,123
88,112
89,116
90,120
91,108
92,109
93,124
94,116
95,112
96,110
97,96
98,134
99,106
100,99
101,95
102,101
103,126
104,107
105,129
106,113
107,114
108,112
109,107
110,103
111,96
112,77
113,99
114,92
115,81
116,103
117,104
118,94
119,91
120,103
121,93
122,89
123,92
124,74
125,83
126,81
127,84
128,74
129,86
130,82
131,92
132,96
133,93
134,99
135,96
136,136
137,108
138,107
139,140
140,121
141,107
142,117
143,124
144,142
145,128
146,107
147,150
148,142
149,112
150,130
151,124
152,138
153,143
154,142
155,146
156,168
157,152
158,195
159,171
160,177
161,165
162,153
163,183
164,183
165,179
166,186
167,173
168,176
169,184
170,162
171,145
172,146
173,155
174,148
175,172
176,173
177,170
178,174
179,183
180,166
181,148
182,150
183,156
184,130
185,139
186,151
187,152
188,127
189,134
190,125
191,134
192,119
193,152
194,138
195,133
196,169
197,162
198,166
199,159
200,142
201,172
202,149
203,150
204,129
205,167
206,146
207,147
208,136
209,174
210,137
211,150
212,182
213,161
214,164
215,156
216,147
217,142
218,146
219,121
220,126
221,136
222,137
223,128
224,129
225,114
226,110
227,117
228,136
229,145
230,141
231,166
232,152
233,155
234,136
235,140
236,131
237,146
238,130
239,144
240,144
241,128
242,118
243,115
244,103
245,110
246,103
247,106
248,89
249,95
250,67
251,79
252,69
253,51
254,93
255,55
